Initials,Treatment,Replicate,Generation,Cohort,Sex,Individual,Trait,length,scale,scale_mm,length_mm,NewTrait,Cohort0
AW,NT,1,35,1,F,1,L,402.89,1.48e-6,0.00148,0.5962772,femur,0
AW,NT,1,35,1,F,1,L,333.754,1.48e-6,0.00148,0.49395592000000005,tibia,0
AW,NT,1,35,1,F,20,L,409.093,1.48e-6,0.00148,0.60545764,femur,0
AW,NT,1,35,1,F,20,L,335.161,1.48e-6,0.00148,0.49603828,tibia,0
AW,NT,1,35,1,F,19,L,410.466,1.48e-6,0.00148,0.60748968,femur,0
AW,NT,1,35,1,F,19,L,338.516,1.48e-6,0.00148,0.5010036800000001,tibia,0
AW,NT,1,35,1,F,18,L,410,1.48e-6,0.00148,0.6068,femur,0
AW,NT,1,35,1,F,18,L,347.52,1.48e-6,0.00148,0.5143295999999999,tibia,0
AW,NT,1,35,1,F,17,L,417.943,1.48e-6,0.00148,0.61855564,femur,0
AW,NT,1,35,1,F,17,L,337.818,1.48e-6,0.00148,0.49997063999999997,tibia,0
AW,NT,1,35,1,F,16,L,404.358,1.48e-6,0.00148,0.59844984,femur,0
AW,NT,1,35,1,F,16,L,349.954,1.48e-6,0.00148,0.51793192,tibia,0
AW,NT,1,35,1,F,15,L,395.001,1.48e-6,0.00148,0.58460148,femur,0
AW,NT,1,35,1,F,15,L,329.509,1.48e-6,0.00148,0.48767332,tibia,0
AW,NT,1,35,1,F,14,L,420.381,1.48e-6,0.00148,0.62216388,femur,0
AW,NT,1,35,1,F,14,L,333.384,1.48e-6,0.00148,0.49340832,tibia,0
AW,NT,1,35,1,F,13,L,422.928,1.48e-6,0.00148,0.62593344,femur,0
AW,NT,1,35,1,F,13,L,331.991,1.48e-6,0.00148,0.49134668,tibia,0
AW,NT,1,35,1,F,12,L,417.445,1.48e-6,0.00148,0.6178186,femur,0
AW,NT,1,35,1,F,12,L,342.021,1.48e-6,0.00148,0.50619108,tibia,0
AW,NT,1,35,1,F,11,L,450.09,1.48e-6,0.00148,0.6661332,femur,0
AW,NT,1,35,1,F,11,L,337.831,1.48e-6,0.00148,0.49998988,tibia,0
AW,NT,1,35,1,F,10,L,409.664,1.48e-6,0.00148,0.60630272,femur,0
AW,NT,1,35,1,F,10,L,341.884,1.48e-6,0.00148,0.50598832,tibia,0
AW,NT,1,35,1,F,9,L,438.415,1.48e-6,0.00148,0.6488542,femur,0
AW,NT,1,35,1,F,9,L,334.834,1.48e-6,0.00148,0.49555432,tibia,0
AW,NT,1,35,1,F,8,L,439.857,1.48e-6,0.00148,0.65098836,femur,0
AW,NT,1,35,1,F,8,L,352.853,1.48e-6,0.00148,0.52222244,tibia,0
AW,NT,1,35,1,F,7,L,405.365,1.48e-6,0.00148,0.5999402,femur,0
AW,NT,1,35,1,F,7,L,339.744,1.48e-6,0.00148,0.50282112,tibia,0
AW,NT,1,35,1,F,6,L,411.643,1.48e-6,0.00148,0.60923164,femur,0
AW,NT,1,35,1,F,6,L,342.099,1.48e-6,0.00148,0.50630652,tibia,0
AW,NT,1,35,1,F,5,L,442.792,1.48e-6,0.00148,0.6553321599999999,femur,0
AW,NT,1,35,1,F,5,L,355.621,1.48e-6,0.00148,0.5263190799999999,tibia,0
AW,NT,1,35,1,F,4,L,435.744,1.48e-6,0.00148,0.64490112,femur,0
AW,NT,1,35,1,F,4,L,359.167,1.48e-6,0.00148,0.5315671599999999,tibia,0
AW,NT,1,35,1,F,3,L,422.734,1.48e-6,0.00148,0.62564632,femur,0
AW,NT,1,35,1,F,3,L,316,1.48e-6,0.00148,0.46768,tibia,0
AW,NT,1,35,1,F,2,L,428.002,1.48e-6,0.00148,0.63344296,femur,0
AW,NT,1,35,1,F,2,L,316.948,1.48e-6,0.00148,0.46908303999999995,tibia,0
AW,NT,1,35,1,M,13,L,411.919,1.48e-6,0.00148,0.60964012,femur,0
AW,NT,1,35,1,M,13,L,321.995,1.48e-6,0.00148,0.4765526,tibia,0
AW,NT,1,35,1,M,12,L,383.377,1.48e-6,0.00148,0.56739796,femur,0
AW,NT,1,35,1,M,12,L,327.88,1.48e-6,0.00148,0.4852624,tibia,0
AW,NT,1,35,1,M,11,L,393.041,1.48e-6,0.00148,0.58170068,femur,0
AW,NT,1,35,1,M,11,L,304.201,1.48e-6,0.00148,0.45021748,tibia,0
AW,NT,1,35,1,M,10,L,403.708,1.48e-6,0.00148,0.59748784,femur,0
AW,NT,1,35,1,M,10,L,329.194,1.48e-6,0.00148,0.48720712,tibia,0
AW,NT,1,35,1,M,9,L,383.463,1.48e-6,0.00148,0.56752524,femur,0
AW,NT,1,35,1,M,9,L,318.653,1.48e-6,0.00148,0.47160644,tibia,0
AW,NT,1,35,1,M,8,L,394.868,1.48e-6,0.00148,0.58440464,femur,0
AW,NT,1,35,1,M,8,L,338.071,1.48e-6,0.00148,0.50034508,tibia,0
AW,NT,1,35,1,M,7,L,409.2,1.48e-6,0.00148,0.6056159999999999,femur,0
AW,NT,1,35,1,M,7,L,335.41,1.48e-6,0.00148,0.49640680000000004,tibia,0
AW,NT,1,35,1,M,6,L,387.253,1.48e-6,0.00148,0.57313444,femur,0
AW,NT,1,35,1,M,6,L,334.009,1.48e-6,0.00148,0.49433332,tibia,0
AW,NT,1,35,1,M,5,L,394.129,1.48e-6,0.00148,0.5833109200000001,femur,0
AW,NT,1,35,1,M,5,L,328.586,1.48e-6,0.00148,0.48630728,tibia,0
AW,NT,1,35,1,M,4,L,387.083,1.86e-6,0.0018599999999999999,0.71997438,femur,0
AW,NT,1,35,1,M,4,L,326.535,1.86e-6,0.0018599999999999999,0.6073551,tibia,0
AW,NT,1,35,1,M,3,L,407.314,1.48e-6,0.00148,0.60282472,femur,0
AW,NT,1,35,1,M,3,L,331.042,1.48e-6,0.00148,0.48994215999999996,tibia,0
AW,NT,1,35,1,M,2,L,401.708,1.48e-6,0.00148,0.59452784,femur,0
AW,NT,1,35,1,M,2,L,331.403,1.48e-6,0.00148,0.49047644,tibia,0
AW,NT,1,35,1,M,1,L,380.695,1.48e-6,0.00148,0.5634286,femur,0
AW,NT,1,35,1,M,1,L,270.985,1.48e-6,0.00148,0.4010578,tibia,0
AW,NT,1,35,1,M,20,L,388.486,1.48e-6,0.00148,0.57495928,femur,0
AW,NT,1,35,1,M,20,L,320.652,1.48e-6,0.00148,0.47456496,tibia,0
AW,NT,1,35,1,M,19,L,404.554,1.48e-6,0.00148,0.59873992,femur,0
AW,NT,1,35,1,M,19,L,323.903,1.48e-6,0.00148,0.47937644,tibia,0
AW,NT,1,35,1,M,17,L,381.085,1.48e-6,0.00148,0.5640058,femur,0
AW,NT,1,35,1,M,17,L,332.814,1.48e-6,0.00148,0.49256472,tibia,0
AW,NT,1,35,1,M,16,L,376.617,1.48e-6,0.00148,0.55739316,femur,0
AW,NT,1,35,1,M,16,L,318.442,1.48e-6,0.00148,0.47129416,tibia,0
AW,NT,1,35,1,M,15,L,400.21,1.48e-6,0.00148,0.5923107999999999,femur,0
AW,NT,1,35,1,M,15,L,325.613,1.48e-6,0.00148,0.48190724,tibia,0
AW,NT,1,35,1,M,14,L,394.179,1.48e-6,0.00148,0.58338492,femur,0
AW,NT,1,35,1,M,14,L,318.597,1.48e-6,0.00148,0.47152355999999995,tibia,0
AW,NT,1,35,1,M,18,L,381.809,1.48e-6,0.00148,0.56507732,femur,0
AW,NT,1,35,1,M,18,L,317.189,1.48e-6,0.00148,0.46943972,tibia,0
AW,NT,1,35,2,F,19,L,286.204,1.86e-6,0.0018599999999999999,0.53233944,femur,1
AW,NT,1,35,2,F,19,L,227.563,1.86e-6,0.0018599999999999999,0.42326717999999997,tibia,1
AW,NT,1,35,2,F,18,L,321.636,1.86e-6,0.0018599999999999999,0.59824296,femur,1
AW,NT,1,35,2,F,18,L,270.276,1.86e-6,0.0018599999999999999,0.50271336,tibia,1
AW,NT,1,35,2,F,17,L,284.102,1.86e-6,0.0018599999999999999,0.5284297199999999,femur,1
AW,NT,1,35,2,F,17,L,223.573,1.86e-6,0.0018599999999999999,0.41584578,tibia,1
AW,NT,1,35,2,F,16,L,314.506,1.86e-6,0.0018599999999999999,0.5849811599999999,femur,1
AW,NT,1,35,2,F,16,L,252.008,1.86e-6,0.0018599999999999999,0.46873487999999996,tibia,1
AW,NT,1,35,2,F,15,L,286.932,1.86e-6,0.0018599999999999999,0.53369352,femur,1
AW,NT,1,35,2,F,15,L,238.73,1.86e-6,0.0018599999999999999,0.4440378,tibia,1
AW,NT,1,35,2,F,14,L,315.93,1.86e-6,0.0018599999999999999,0.5876298,femur,1
AW,NT,1,35,2,F,14,L,262.103,1.86e-6,0.0018599999999999999,0.48751158,tibia,1
AW,NT,1,35,2,F,13,L,312.405,1.86e-6,0.0018599999999999999,0.5810732999999999,femur,1
