"treatment","cohort0","replicate","cohort","sex","individual","tarsus","femur","tibia","winglength","wingwidth","thorax","head","thorax_c","cohort_n"
"NT","0","1",0,"F","1",7.56739941848821,9.21983936290139,8.94823849305261,11.1422794937396,10.0667671785412,10.0297426325454,9.86251567636451,0.165422957054741,1
"NT","0","1",0,"F","2",7.64950193576415,9.30707090380523,8.87369952998142,11.1406342717106,10.0257985378612,10.0049294181506,9.82409254539934,0.140609742659905,1
"NT","0","1",0,"F","3",7.55051685918052,9.28920351693486,8.86937792403133,11.1385837316487,10.0400628178093,10.0723926812842,9.83479166241529,0.208073005793526,1
"NT","0","1",0,"F","4",7.78709729781003,9.33293416485119,9.05410816803702,11.2394709005811,10.0642579862713,10.083738856127,9.91565456374511,0.219419180636315,1
"NT","0","1",0,"F","5",7.80800913895246,9.3560825225619,9.03979388580706,11.2451024414668,10.1463162870374,10.096623767733,9.9120976122301,0.232304092242284,1
"NT","0","1",0,"F","6",7.80781857095259,9.25084705885823,8.98386725255514,11.1355525432007,10.0652351367927,10.0514767868535,9.87166114441985,0.187157111362875,1
"NT","0","1",0,"F","7",7.49677198574239,9.2286748947242,8.97390143833852,11.1243533266242,10.0273447287831,10.0626406376977,9.84262879754344,0.198320962207058,1
"NT","0","1",0,"F","8",7.66239664978059,9.34648793728175,9.02852064164445,11.1899980300587,10.0010121237602,10.0060781128553,9.81138753881762,0.141758437364588,1
"NT","0","1",0,"F","9",7.7013680156339,9.34175052536764,8.9528993963275,11.1852004703971,10.0240342173059,10.0751584317489,9.84406289624599,0.210838756258234,1
"NT","0","1",0,"F","10",7.78584005557813,9.24389448445781,8.98296027257462,11.1984554779319,10.0449710000514,10.0479049922718,9.80257045305464,0.183585316781178,1
"NT","0","1",0,"F","11",7.71680656873912,9.37966687722939,8.96575508421895,11.1761302167572,10.0608302257562,10.0640056300575,9.88517898442579,0.199685954566808,1
"NT","0","1",0,"F","12",7.72828053896946,9.27103949506178,8.98353827455807,11.1766670473284,10.0410513944363,10.0611484454941,9.81835720815637,0.196828770003391,1
"NT","0","1",0,"F","13",7.87307123994393,9.2898654429593,8.94059749746813,11.2026742208822,10.0554412859201,10.0856952530478,9.90767851269022,0.221375577557099,1
"NT","0","1",0,"F","14",7.5922644657415,9.28115083077771,8.94663823277705,11.1527847547381,10.0340966158759,10.0152885357265,9.86028454447548,0.150968860235805,1
"NT","0","1",0,"F","15",7.69653833884487,9.19130967130658,8.92977123625847,11.1445120924608,10.0265165264196,10.0563718554308,9.86938020677484,0.192052179940111,1
"NT","0","1",0,"F","16",7.79441586635011,9.22508652029207,9.01661866387706,11.166652423582,9.96140257813181,10.0633891486986,9.87817386619497,0.199069473207903,1
"NT","0","1",0,"F","17",7.61239378542798,9.27275956337846,8.96569956712195,11.1282055655721,10.0424973684968,10.0276351756349,9.82784709085876,0.163315500144273,1
"NT","0","1",0,"F","18",7.75423547041561,9.24507727535967,9.00654937388386,11.1530923353438,10.0705652261336,10.0308105159063,9.86643932278981,0.166490840415641,1
"NT","0","1",0,"F","19",7.59052627206553,9.24671609028033,8.96867739019771,11.1495104396859,10.0053421575093,10.0950335866666,9.76530387016359,0.230713911175927,1
"NT","0","1",0,"F","20",7.6733687257487,9.24188221707714,8.95430764957067,11.1145328665212,9.96050869832318,10.0503636901436,9.8417890604474,0.186044014652959,1
"NT","0","1",0,"M","1",7.3412140404894,9.13808898747928,8.64766636102898,10.8416036262391,9.78493434543805,9.79233425252597,9.70784977204092,-0.0719854229646977,1
"NT","0","1",0,"M","2",7.37300362181465,9.21560055851694,8.93804002813259,10.954728206121,9.89258091361584,9.80295043308644,9.75302595978759,-0.0613692424042274,1
"NT","0","1",0,"M","3",7.49185758470726,9.23559476843936,8.93646763205045,10.9909633668285,9.89026978023089,9.90588793488925,9.76036141606836,0.0415682593985789,1
"NT","0","1",0,"M","4",7.76228475941279,9.49180175951776,9.24639644796455,11.0090786408401,9.91720425757748,9.90239998832403,9.75417118657485,0.0380803128333564,1
"NT","0","1",0,"M","5",7.31608309378402,9.18812127246811,8.92572437859847,10.9120565980491,9.85144641844624,9.87836747366607,9.69595665989463,0.0140477981754028,1
"NT","0","1",0,"M","6",7.34247758824262,9.16272978106305,8.94934034282059,10.9257407839836,9.80222327277543,9.87646172405326,9.74060023265763,0.0121420485625947,1
"NT","0","1",0,"M","7",7.57347662889569,9.24225951071219,8.9553790680534,10.9687158612699,9.87798253257581,9.90017438968062,9.76286548064049,0.0358547141899521,1
"NT","0","1",0,"M","8",7.37673421054025,9.19082382253355,8.96677963163667,10.9638861089057,9.8403191460048,9.83954615129398,9.68975468387911,-0.0247735241966929,1
"NT","0","1",0,"M","9",7.47613797725537,9.14854074572558,8.88143960888253,10.8892472366781,9.79866934202188,9.89358558183694,9.73802468449971,0.0292659063462732,1
"NT","0","1",0,"M","10",7.53964459177236,9.22276554161252,8.92839140658554,10.9781103075608,9.91544641575396,9.55566709340933,9.73315582079619,-0.308652582081342,1
"NT","0","1",0,"M","11",7.41239133532752,9.184133180432,8.81447826127081,10.9475880827224,9.87958150367505,9.88034758358677,9.75407228276482,0.0160279080961025,1
"NT","0","1",0,"M","12",7.41130047899944,9.1482171533881,8.92262126863832,10.9847756133481,9.92889356041942,9.87401879973473,9.68196193254601,0.00969912424406338,1
"NT","0","1",0,"M","13",7.62494163667865,9.25181403850564,8.896491651698,10.9441599983142,9.85738308558107,9.8853186305997,9.75752002108566,0.0209989551090306,1
"NT","0","1",0,"M","14",7.42977093680694,9.18830428406292,8.88118604772915,10.9746473956131,9.9302363575142,9.87554504089393,9.75298389311658,0.0112253654032575,1
"NT","0","1",0,"M","15",7.49458329634882,9.21021058177357,8.91261166554371,10.9539681661954,9.88416621391681,9.85176299989146,9.67681893562941,-0.0125566755992104,1
"NT","0","1",0,"M","16",7.41113740662299,9.12255148842271,8.88048399421044,10.9461579838525,9.87671577921331,9.90055943290424,9.74060023265763,0.0362397574135702,1
"NT","0","1",0,"M","17",7.38938474262271,9.13956618854811,8.94416948812764,10.9835383173096,9.92505916555925,9.96749419185869,9.77030035733607,0.10317451636802,1
"NT","0","1",0,"M","18",7.38323322315862,9.14230447597251,8.87479610539523,10.9456192902007,9.91354175377796,9.90628101835897,9.76772344907996,0.0419613428683014,1
"NT","0","1",0,"M","19",7.54451351530038,9.22578565254267,8.90501519611179,10.9604130850167,9.95274477021145,9.9504542997457,9.80910203658063,0.0861346242550329,1
"NT","0","1",0,"M","20",7.38803416693162,9.16731597431469,8.89046177134226,10.9405817593184,9.90253457096244,9.86755514225014,9.73807969088763,0.00323546675947206,1
"NT","1","1",1,"F","1",7.30420125988387,9.00262433102982,8.63978667218042,10.966781073336,9.89931235730944,9.82010146335227,9.63249899915959,-0.0442182121384018,2
