Number,Label,Length_px
1,FR_NTR1_C0_F_FEMUR_1.tif,379.084
2,FR_NTR1_C0_F_FEMUR_10.tif,338.971
3,FR_NTR1_C0_F_FEMUR_11.tif,315.357
4,FR_NTR1_C0_F_FEMUR_12.tif,338.148
5,FR_NTR1_C0_F_FEMUR_13.tif,343.447
6,FR_NTR1_C0_F_FEMUR_14.tif,357.246
7,FR_NTR1_C0_F_FEMUR_15.tif,353.459
8,FR_NTR1_C0_F_FEMUR_16.tif,371.005
9,FR_NTR1_C0_F_FEMUR_17.tif,348.368
10,FR_NTR1_C0_F_FEMUR_18.tif,353.838
11,FR_NTR1_C0_F_FEMUR_19.tif,323.798
12,FR_NTR1_C0_F_FEMUR_2.tif,351.71
13,FR_NTR1_C0_F_FEMUR_20.tif,373.858
14,FR_NTR1_C0_F_FEMUR_3.tif,380.138
15,FR_NTR1_C0_F_FEMUR_4.tif,377.816
16,FR_NTR1_C0_F_FEMUR_5.tif,366.547
17,FR_NTR1_C0_F_FEMUR_6.tif,333.318
18,FR_NTR1_C0_F_FEMUR_7.tif,362.329
19,FR_NTR1_C0_F_FEMUR_8.tif,360.407
20,FR_NTR1_C0_F_FEMUR_9.tif,319.658
1,FR_NTR1_C0_F_HEAD_1.tif,540.416
2,FR_NTR1_C0_F_HEAD_10.tif,480.135
3,FR_NTR1_C0_F_HEAD_11.tif,510.154
4,FR_NTR1_C0_F_HEAD_12.tif,513.533
5,FR_NTR1_C0_F_HEAD_13.tif,501.606
6,FR_NTR1_C0_F_HEAD_14.tif,499.626
7,FR_NTR1_C0_F_HEAD_15.tif,509.384
8,FR_NTR1_C0_F_HEAD_16.tif,521.993
9,FR_NTR1_C0_F_HEAD_17.tif,498.064
10,FR_NTR1_C0_F_HEAD_18.tif,482.063
11,FR_NTR1_C0_F_HEAD_19.tif,504.643
12,FR_NTR1_C0_F_HEAD_2.tif,491.872
13,FR_NTR1_C0_F_HEAD_20.tif,510.768
14,FR_NTR1_C0_F_HEAD_3.tif,496.403
15,FR_NTR1_C0_F_HEAD_4.tif,500.899
16,FR_NTR1_C0_F_HEAD_5.tif,501.007
17,FR_NTR1_C0_F_HEAD_6.tif,530.51
18,FR_NTR1_C0_F_HEAD_7.tif,512.337
19,FR_NTR1_C0_F_HEAD_8.tif,499.151
20,FR_NTR1_C0_F_HEAD_9.tif,504.248
1,FR_NTR1_C0_F_TARSUS_1.tif,114.039
2,FR_NTR1_C0_F_TARSUS_10.tif,100.09
3,FR_NTR1_C0_F_TARSUS_11.tif,104.077
4,FR_NTR1_C0_F_TARSUS_12.tif,119.57
5,FR_NTR1_C0_F_TARSUS_13.tif,111.866
6,FR_NTR1_C0_F_TARSUS_14.tif,119.004
7,FR_NTR1_C0_F_TARSUS_15.tif,114.237
8,FR_NTR1_C0_F_TARSUS_16.tif,109.659
9,FR_NTR1_C0_F_TARSUS_17.tif,102.181
10,FR_NTR1_C0_F_TARSUS_18.tif,118.929
11,FR_NTR1_C0_F_TARSUS_19.tif,117.337
12,FR_NTR1_C0_F_TARSUS_2.tif,114.07
13,FR_NTR1_C0_F_TARSUS_20.tif,120.416
14,FR_NTR1_C0_F_TARSUS_3.tif,114.018
15,FR_NTR1_C0_F_TARSUS_4.tif,120.167
16,FR_NTR1_C0_F_TARSUS_5.tif,97.417
17,FR_NTR1_C0_F_TARSUS_6.tif,108.853
18,FR_NTR1_C0_F_TARSUS_7.tif,127.613
19,FR_NTR1_C0_F_TARSUS_8.tif,119.854
20,FR_NTR1_C0_F_TARSUS_9.tif,114.337
1,FR_NTR1_C0_F_THORAX_1.tif,631.311
2,FR_NTR1_C0_F_THORAX_10.tif,629.984
3,FR_NTR1_C0_F_THORAX_11.tif,586.986
4,FR_NTR1_C0_F_THORAX_12.tif,596.719
5,FR_NTR1_C0_F_THORAX_13.tif,574.415
6,FR_NTR1_C0_F_THORAX_14.tif,593.956
7,FR_NTR1_C0_F_THORAX_15.tif,573.687
8,FR_NTR1_C0_F_THORAX_16.tif,633.382
9,FR_NTR1_C0_F_THORAX_17.tif,563.107
10,FR_NTR1_C0_F_THORAX_18.tif,580.08
11,FR_NTR1_C0_F_THORAX_19.tif,578.08
12,FR_NTR1_C0_F_THORAX_2.tif,569.337
13,FR_NTR1_C0_F_THORAX_20.tif,586.809
14,FR_NTR1_C0_F_THORAX_3.tif,582.808
15,FR_NTR1_C0_F_THORAX_4.tif,566.421
16,FR_NTR1_C0_F_THORAX_5.tif,590.851
17,FR_NTR1_C0_F_THORAX_6.tif,594.212
18,FR_NTR1_C0_F_THORAX_7.tif,561.143
19,FR_NTR1_C0_F_THORAX_8.tif,582.815
20,FR_NTR1_C0_F_THORAX_9.tif,527.755
1,FR_NTR1_C0_F_TIBIA_1.tif,286.819
2,FR_NTR1_C0_F_TIBIA_10.tif,263.046
3,FR_NTR1_C0_F_TIBIA_11.tif,268.263
4,FR_NTR1_C0_F_TIBIA_12.tif,295.149
5,FR_NTR1_C0_F_TIBIA_13.tif,257.42
6,FR_NTR1_C0_F_TIBIA_14.tif,279.407
7,FR_NTR1_C0_F_TIBIA_15.tif,254.578
8,FR_NTR1_C0_F_TIBIA_16.tif,270.749
9,FR_NTR1_C0_F_TIBIA_17.tif,274.811
10,FR_NTR1_C0_F_TIBIA_18.tif,280.401
