"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"NT","1",0,"F","1",9.46167443795832,9.97322726091084,7.72868416555274,10.1975077609237,9.05929746890587,11.1579405471907,0.441335271621725
"NT","1",0,"F","10",9.30031872369301,9.80259697876551,7.54045471359614,10.1944720602737,8.93447198394721,11.1404362062917,0.438299570971788
"NT","1",0,"F","11",9.19614282916135,9.89008969065124,7.59680815435427,10.0924829665259,8.96280495754367,11.1109198285566,0.336310477223952
"NT","1",0,"F","12",9.29681169286582,9.89961386014401,7.79701233611565,10.1162085861639,9.10060032577145,11.2069468358216,0.360036096861991
"NT","1",0,"F","13",9.31924435463439,9.86571147715494,7.70092848932561,10.0612502955052,8.90328101872111,11.1182138933089,0.30507780620329
"NT","1",0,"F","14",9.37607472989269,9.86000542719907,7.79016693866966,10.109512932769,9.02152503712432,11.1303168443659,0.353340443467074
"NT","1",0,"F","15",9.3606997491931,9.88791051656906,7.7311868700835,10.059420698256,8.88726462249555,11.1075562941746,0.30324820895404
"NT","1",0,"F","16",9.43059550204494,9.92318733218071,7.67218109461416,10.202232740188,8.97611288131071,11.250629752604,0.446060250886058
"NT","1",0,"F","17",9.3397689805481,9.85548800897279,7.57028383193453,10.0325659571872,8.99759662480219,11.0970741997086,0.276393467885287
"NT","1",0,"F","18",9.36224586482156,9.80837857415739,7.78925742101847,10.0754087509378,9.02664836647195,11.1142198563273,0.319236261635853
"NT","1",0,"F","19",9.23425094658787,9.87442001379564,7.76981488365751,10.0704260318835,8.95315706139078,11.1194374519752,0.314253542581557
"NT","1",0,"F","2",9.35354322699587,9.83743980343724,7.72907628990156,10.0484397324567,8.9757504955423,11.1458786100242,0.292267243154759
"NT","1",0,"F","20",9.44164727688159,9.89182501394118,7.80718397163156,10.0920478700667,9.00926678716375,11.1360824758766,0.335875380764735
"NT","1",0,"F","3",9.46568012153959,9.85066870638907,7.72841847236249,10.0821775529052,9.10226129701977,11.140877155914,0.326005063603242
"NT","1",0,"F","4",9.45684067121718,9.86367660338772,7.80419763266787,10.0410316261824,9.012793143325,11.1572275166807,0.284859136880474
"NT","1",0,"F","5",9.41315506986715,9.8639876326959,7.5014023325378,10.1019512313996,9.00851671552965,11.1664975573699,0.345778742097698
"NT","1",0,"F","6",9.2760561006684,9.9465368178897,7.66153804089988,10.110134612424,9.03960712966805,11.1894412186197,0.353962123122109
"NT","1",0,"F","7",9.39645715248621,9.8962499562368,7.89093217665348,10.0275253417677,8.99344859736426,11.1403268394363,0.271352852465769
"NT","1",0,"F","8",9.38878390414865,9.85863318855904,7.80043493020627,10.0821948807467,8.97754022190609,11.0868571644288,0.326022391444726
"NT","1",0,"F","9",9.21568607225835,9.87329032868542,7.73244921412344,9.93902521386479,8.92923019004503,11.1134049436776,0.182852724562864
"NT","1",0,"M","1",9.09411402433304,9.77120972707887,7.60528051446578,9.90687459015576,8.94860212034092,10.9271893163303,0.150702100853829
"NT","1",0,"M","10",8.97532404277235,9.77728642205385,7.59899665871477,9.88710026996178,9.00518878204122,10.8724274543734,0.130927780659855
"NT","1",0,"M","11",9.20553172398855,9.79251084961747,7.42901975336567,9.8998863415698,8.93905528365109,10.9538593566299,0.143713852267878
"NT","1",0,"M","12",9.34804847608647,9.77836241917636,7.58984662123942,9.89594298935808,8.92044024450427,10.9163236652869,0.13977050005615
"NT","1",0,"M","13",9.13994993578051,9.76735064403855,7.79620370803744,9.91773507964263,8.90987914714866,10.9164541784283,0.161562590340706
"NT","1",0,"M","14",9.09106657783817,9.71790975085913,7.51458162559751,9.87058120276666,8.85249561061931,10.8904897914884,0.11440871346473
"NT","1",0,"M","15",9.19712150422599,9.79253505621472,7.46539925031493,9.93263348097301,8.94079279919201,10.9373156730029,0.176460991671082
"NT","1",0,"M","16",9.13466053250323,9.70208871987201,7.46834188628441,9.8592515797385,8.8800039490509,10.9223206141079,0.103079090436578
"NT","1",0,"M","17",9.1775226950136,9.66796825668399,7.43811588857315,9.87544025986492,8.83366881736722,10.9048857980203,0.119267770562997
"NT","1",0,"M","18",9.21864823152085,9.80813314761329,7.61605795955775,9.95721995437412,8.97877469085641,10.9219845689633,0.201047465072195
"NT","1",0,"M","19",9.19688832882895,9.6787016759814,7.58525673453624,9.91534444020153,8.9995429766334,10.994502506073,0.159171950899607
"NT","1",0,"M","2",8.98967400429201,9.75458386798746,7.39398237884873,9.89666946587428,8.82683601147327,10.8686278216969,0.140496976572358
"NT","1",0,"M","20",9.08381040624114,9.70685841057366,7.58044191469916,9.83313938582973,8.90734970422616,10.8905307849537,0.0769668965278054
"NT","1",0,"M","3",9.22127616583558,9.74467137702787,7.56278127988303,9.90900579014564,9.00139769761516,10.9453479288192,0.152833300843715
"NT","1",0,"M","4",9.1714250875,9.78644034413434,7.46251145784233,9.91835361269613,8.81830125840668,10.9489903930282,0.162181123394202
"NT","1",0,"M","5",NA,9.67505286282146,7.5103049238608,9.91021384035069,8.98995374723296,10.930996065169,0.154041351048763
"NT","1",0,"M","6",9.23576058463332,9.69529133311155,7.45897745491918,9.9177101108571,8.91686924280277,10.9600326705022,0.161537621555174
"NT","1",0,"M","7",9.15537339819215,9.73223469354686,7.55018012263217,9.92056761694642,8.94144246387049,10.9667295245268,0.164395127644493
"NT","1",0,"M","8",9.20092927022526,9.79998647839723,7.51748431551173,9.89600495123701,8.91734662738158,10.9106794925427,0.139832461935086
"NT","1",0,"M","9",9.22184252439979,9.66515505147695,NA,9.94700992448353,8.94035588532451,10.9457057868306,0.190837435181601
"NT","1",1,"F","1",9.23094114193378,9.75871883630189,7.63985200632348,10.0055882263804,8.8823486292071,11.038460650268,0.249415737078474
"NT","1",1,"F","10",9.21186280501354,9.79441285496883,7.71722769334402,9.93275154483105,8.92006359932472,11.0640467506846,0.176579055529123
"NT","1",1,"F","11",9.2110299238172,9.76065660728099,7.71959757180331,9.9985989829272,8.87604577900973,11.0626561008225,0.242426493625278
"NT","1",1,"F","12",9.08505606913736,9.75553412908472,7.66585226022377,9.93915915627266,8.84921773428853,11.0382475776318,0.182986666970734
