"","X","Initials","Treatment","Replicate","Generation","Cohort","Sex","Individual","Trait","Area","Mean","Min","Max","Angle","Length","scale","scale_mm","length_mm","Cohort0","length_um"
"1",1,"AW","NT","1","35",1,"F",1,"L",129,109.417,79.417,149.25,-57.426,128.16,1.48e-06,0.00148,0.1896768,0,189.6768
"2",2,"AW","NT","1","35",1,"F",2,"L",137,119.32,82.842,153.765,18.034,135.665,1.48e-06,0.00148,0.2007842,0,200.7842
"3",3,"AW","NT","1","35",1,"F",3,"L",128,83.624,63.453,104.695,-95.891,126.669,1.48e-06,0.00148,0.18747012,0,187.47012
"4",4,"AW","NT","1","35",1,"F",4,"L",150,76.287,59.591,89.443,43.643,149.241,1.48e-06,0.00148,0.22087668,0,220.87668
"5",5,"AW","NT","1","35",1,"F",5,"L",152,88.262,51.689,123.907,-12.2,151.42,1.48e-06,0.00148,0.2241016,0,224.1016
"6",6,"AW","NT","1","35",1,"F",6,"L",152,108.039,86.08,141.773,-36.946,151.4,1.48e-06,0.00148,0.224072,0,224.072
"7",7,"AW","NT","1","35",1,"F",7,"L",123,121.565,80.369,176.361,-91.409,122.037,1.48e-06,0.00148,0.18061476,0,180.61476
"8",8,"AW","NT","1","35",1,"F",8,"L",138,88.182,62.765,119.673,27.876,136.883,1.48e-06,0.00148,0.20258684,0,202.58684
"9",9,"AW","NT","1","35",1,"F",9,"L",142,91.435,74.069,110.72,-66.534,140.631,1.48e-06,0.00148,0.20813388,0,208.13388
"10",10,"AW","NT","1","35",1,"F",10,"L",150,101.061,68.953,122.585,9.652,149.111,1.48e-06,0.00148,0.22068428,0,220.68428
"11",11,"AW","NT","1","35",1,"F",11,"L",143,95.84,66.877,119.195,44.145,142.144,1.48e-06,0.00148,0.21037312,0,210.37312
"12",12,"AW","NT","1","35",1,"F",12,"L",144,140.855,93.652,170.807,-160.427,143.279,1.48e-06,0.00148,0.21205292,0,212.05292
"13",13,"AW","NT","1","35",1,"F",13,"L",159,89.781,68.585,115.258,-114.624,158.405,1.48e-06,0.00148,0.2344394,0,234.4394
"14",14,"AW","NT","1","35",1,"F",14,"L",131,108.97,74.509,141,-156.975,130.388,1.48e-06,0.00148,0.19297424,0,192.97424
"15",15,"AW","NT","1","35",1,"F",15,"L",141,84.465,58.046,125.666,-172.621,140.161,1.48e-06,0.00148,0.20743828,0,207.43828
"16",16,"AW","NT","1","35",1,"F",16,"L",151,85.452,69.302,104.88,163.74,150,1.48e-06,0.00148,0.222,0,222
"17",17,"AW","NT","1","35",1,"F",17,"L",133,86.391,60.459,120.021,-77.33,132.22,1.48e-06,0.00148,0.1956856,0,195.6856
"18",18,"AW","NT","1","35",1,"F",18,"L",147,103.119,57.696,129.852,73.677,145.88,1.48e-06,0.00148,0.2159024,0,215.9024
"19",19,"AW","NT","1","35",1,"F",19,"L",131,75.48,57.81,96.006,-100.62,130.231,1.48e-06,0.00148,0.19274188,0,192.74188
"20",20,"AW","NT","1","35",1,"F",20,"L",139,106.043,70.975,127.985,-106.858,137.928,1.48e-06,0.00148,0.20413344,0,204.13344
"21",21,"AW","NT","1","35",1,"M",1,"L",111,107.902,60,139.8,-21.413,109.563,1.48e-06,0.00148,0.16215324,0,162.15324
"22",22,"AW","NT","1","35",1,"M",2,"L",113,71.547,50.789,87.832,-23.131,112.004,1.48e-06,0.00148,0.16576592,0,165.76592
"23",23,"AW","NT","1","35",1,"M",3,"L",123,73.783,32.465,105.817,45,121.622,1.48e-06,0.00148,0.18000056,0,180.00056
"24",24,"AW","NT","1","35",1,"M",4,"L",118,93.728,76.567,124.13,-43.264,116.726,1.86e-06,0.00186,0.21711036,0,217.11036
"25",25,"AW","NT","1","35",1,"M",5,"L",109,76.624,59.037,92.724,-96.399,107.671,1.48e-06,0.00148,0.15935308,0,159.35308
"26",26,"AW","NT","1","35",1,"M",6,"L",111,69.877,36.538,103.657,-102.642,109.659,1.48e-06,0.00148,0.16229532,0,162.29532
"27",27,"AW","NT","1","35",1,"M",7,"L",130,133.799,112.896,154.721,-45.63,128.701,1.48e-06,0.00148,0.19047748,0,190.47748
"28",28,"AW","NT","1","35",1,"M",8,"L",113,85.234,54.021,113.5,-129.218,112.294,1.48e-06,0.00148,0.16619512,0,166.19512
"29",29,"AW","NT","1","35",1,"M",9,"L",121,97.691,72.96,142.76,-103.459,120.304,1.48e-06,0.00148,0.17804992,0,178.04992
"30",30,"AW","NT","1","35",1,"M",10,"L",127,75.303,43.102,104.9,-78.064,125.718,1.48e-06,0.00148,0.18606264,0,186.06264
"31",31,"AW","NT","1","35",1,"M",11,"L",116,87.025,47.921,124.416,-29.683,115.104,1.48e-06,0.00148,0.17035392,0,170.35392
"32",32,"AW","NT","1","35",1,"M",12,"L",116,79.433,32.417,108.878,-89.004,115.017,1.48e-06,0.00148,0.17022516,0,170.22516
"33",33,"AW","NT","1","35",1,"M",13,"L",134,93.049,53,128.835,-4.3,133.375,1.48e-06,0.00148,0.197395,0,197.395
"34",34,"AW","NT","1","35",1,"M",14,"L",117,77.479,52.897,93.266,-55.491,116.499,1.48e-06,0.00148,0.17241852,0,172.41852
"35",35,"AW","NT","1","35",1,"M",15,"L",123,91.721,69.295,113.738,-23.199,121.852,1.48e-06,0.00148,0.18034096,0,180.34096
